2022_country_code,Country,2022_income_group,2022_total_gdp,2022_total_gdp_million,2022_gdp_variation
ABW,Aruba,Ingreso Alto,3279343543.60416,3279.34354360416,8.51791810517545
AFG,Afghanistan,Países De Ingreso Bajo,14497243872.1337,14497.2438721337,-6.24017199240269
AGO,Angola,Países De Ingreso Mediano Bajo,104399746853.401,104399.746853401,3.04472652391918
ALB,Albania,Ingreso Mediano Alto,19017242585.7803,19017.2425857803,4.82668831434437
AND,Andorra,Ingreso Alto,3380612573.32922,3380.61257332922,9.56461225648184
ARE,United Arab Emirates,Ingreso Alto,502731935197.487,502731.935197487,7.50969703221836
ARG,Argentina,Ingreso Mediano Alto,632790070063.124,632790.0700631241,5.26987967384072
ARM,Armenia,Ingreso Mediano Alto,19513506553.1251,19513.5065531251,12.5999999997766
ASM,American Samoa,Ingreso Alto,871000000.0,871.0,1.73501577287065
ATG,Antigua And Barbuda,Ingreso Alto,1867733333.33333,1867.73333333333,9.51639564359461
AUS,Australia,Ingreso Alto,1690858246994.43,1690858.24699443,4.24238555336139
AUT,Austria,Ingreso Alto,471773629830.381,471773.62983038096,5.27789421203715
AZE,Azerbaijan,Ingreso Mediano Alto,78807470588.2353,78807.4705882353,4.71480236521231
BDI,Burundi,Países De Ingreso Bajo,3338722827.65691,3338.72282765691,1.84899943948213
BEL,Belgium,Ingreso Alto,593438820508.173,593438.820508173,4.2334318336917
BEN,Benin,Países De Ingreso Mediano Bajo,17401746309.2655,17401.746309265498,6.25324491401346
BFA,Burkina Faso,Países De Ingreso Bajo,18820218690.5948,18820.2186905948,1.4972397409897
BGD,Bangladesh,Países De Ingreso Mediano Bajo,460131688909.301,460131.688909301,7.09982877575158
BGR,Bulgaria,Ingreso Alto,90642851835.8996,90642.8518358996,4.03877758301681
BHR,Bahrain,Ingreso Alto,46680398936.1702,46680.3989361702,5.98130282177125
BHS,Bahamas,Ingreso Alto,13136400000.0,13136.4,10.7820132001503
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,24534663636.1778,24534.6636361778,4.22681101095546
BLR,Belarus,Ingreso Mediano Alto,73775179924.603,73775.179924603,-4.65839591573591
BLZ,Belize,Ingreso Mediano Alto,2846700000.0,2846.7,9.65297772389758
BMU,Bermuda,Ingreso Alto,7827980000.0,7827.98,6.43113399633694
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,44008282877.9606,44008.2828779606,3.60568038279472
BRA,Brazil,Ingreso Mediano Alto,1951923942083.32,1951923.94208332,3.01669435393015
BRB,Barbados,Ingreso Alto,6257303500.0,6257.3035,17.8328630251327
BRN,Brunei Darussalam,Ingreso Alto,16681536442.5498,16681.5364425498,-1.62833154022366
BTN,Bhutan,Países De Ingreso Mediano Bajo,2898227743.13545,2898.22774313545,5.21386781145085
BWA,Botswana,Ingreso Mediano Alto,20321958850.0363,20321.958850036302,5.48602817797183
CAF,Central African Republic,Países De Ingreso Bajo,2382618615.01694,2382.61861501694,0.502110003427035
CAN,Canada,Ingreso Alto,2161483369422.01,2161483.36942201,3.81986633913397
CHE,Switzerland,Ingreso Alto,818426550206.45,818426.5502064499,2.56832817834069
CHL,Chile,Ingreso Alto,302116539409.03,302116.53940903005,2.05874008095333
CHN,China,Ingreso Mediano Alto,17881782683707.3,17881782.6837073,2.95066992959268
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,70173140101.4315,70173.1401014315,6.2178509127107
CMR,Cameroon,Países De Ingreso Mediano Bajo,44347206072.5513,44347.2060725513,3.7367840056412
