2019_country_code,Country,2019_income_group,2019_total_gdp,2019_total_gdp_million,2019_gdp_variation
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,18740561512.5555,18740.5615125555,5.4577350924848
LBN,Lebanon,Países De Ingreso Mediano Bajo,51605959131.2741,51605.9591312741,-6.91492472851026
LBR,Liberia,Países De Ingreso Bajo,3319596500.0,3319.5965,-2.46729763532686
LBY,Libya,Ingreso Mediano Alto,69254496471.6938,69254.4964716938,-11.1960828853386
LCA,Saint Lucia,Ingreso Mediano Alto,2095370370.37037,2095.37037037037,-0.700859001545481
LIE,Liechtenstein,Ingreso Alto,6436467007.11932,6436.46700711932,0.0
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,89014978344.1404,89014.9783441404,-0.220483886072614
LSO,Lesotho,Países De Ingreso Mediano Bajo,2390702295.82777,2390.7022958277703,-1.41799383085205
LTU,Lithuania,Ingreso Alto,55122066225.796,55122.066225796,4.67735155796807
LUX,Luxembourg,Ingreso Alto,69890505323.5842,69890.50532358419,2.9158479150005
LVA,Latvia,Ingreso Alto,33099503950.847,33099.503950847,0.675375256812075
MAC,Macao,Ingreso Alto,55082293844.1008,55082.2938441008,-2.56346757368024
MAF,Saint Martin (French Part),Ingreso Alto,652206037.103874,652.206037103874,6.50000363700821
MAR,Morocco,Países De Ingreso Mediano Bajo,128920266409.458,128920.266409458,2.89097476137077
MCO,Monaco,Ingreso Alto,7383496254.23721,7383.49625423721,7.12088951975396
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,11736797054.6965,11736.7970546965,3.5523140853476
MDG,Madagascar,Países De Ingreso Bajo,14104664678.5063,14104.6646785063,4.41123212909589
MDV,Maldives,Ingreso Mediano Alto,5726094799.37709,5726.094799377091,7.29833574515027
MEX,Mexico,Ingreso Mediano Alto,1304106203694.81,1304106.2036948102,-0.392690521579212
MHL,Marshall Islands,Ingreso Mediano Alto,232900000.0,232.9,10.4521147301896
MKD,North Macedonia,Ingreso Mediano Alto,12606338448.547,12606.338448547,3.91041953840173
MLI,Mali,Países De Ingreso Bajo,17280250810.0321,17280.2508100321,4.75616080770808
MLT,Malta,Ingreso Alto,16337793530.7788,16337.7935307788,4.08470602847339
MMR,Myanmar,Países De Ingreso Mediano Bajo,75065106227.6892,75065.10622768919,6.57911006765414
MNE,Montenegro,Ingreso Mediano Alto,5542054181.12616,5542.05418112616,4.06294499167197
MNG,Mongolia,Ingreso Mediano Alto,14206359017.5143,14206.3590175143,5.60224422064255
MNP,Northern Mariana Islands,Ingreso Alto,1179000000.0,1179.0,-11.4474929044465
MOZ,Mozambique,Países De Ingreso Bajo,15512759046.672,15512.759046672,2.31781394821475
MRT,Mauritania,Países De Ingreso Mediano Bajo,7894764885.82312,7894.76488582312,3.14100489306969
MUS,Mauritius,Ingreso Mediano Alto,14436346979.6355,14436.3469796355,2.89128499346516
MWI,Malawi,Países De Ingreso Bajo,11051865579.8121,11051.8655798121,5.71682519194337
MYS,Malaysia,Ingreso Mediano Alto,365177721021.516,365177.721021516,4.41318742129586
NAM,Namibia,Ingreso Mediano Alto,12541928303.48,12541.92830348,-0.839152163419357
NCL,New Caledonia,Ingreso Alto,9475655324.59495,9475.655324594947,-1.40000000198451
NER,Niger,Países De Ingreso Bajo,12889555561.2299,12889.5555612299,5.93985257123522
NGA,Nigeria,Países De Ingreso Mediano Bajo,474517490844.461,474517.490844461,2.20842927714881
NIC,Nicaragua,Países De Ingreso Mediano Bajo,12699028889.666,12699.028889666,-2.89702791954369
NLD,Netherlands,Ingreso Alto,928903005576.469,928903.005576469,2.30009159476197
NOR,Norway,Ingreso Alto,408742840909.091,408742.840909091,1.12377787436797
NPL,Nepal,Países De Ingreso Mediano Bajo,34186180699.0255,34186.1806990255,6.65705543110467
NRU,Nauru,Ingreso Alto,124871111.377973,124.871111377973,8.48673659193109
NZL,New Zealand,Ingreso Alto,212846907683.439,212846.907683439,2.36196217785604
OMN,Oman,Ingreso Alto,88060858257.4772,88060.8582574772,-1.12863801728058
PAK,Pakistan,Países De Ingreso Mediano Bajo,320909472770.669,320909.47277066903,2.49763692943365
PAN,Panama,Ingreso Alto,69778991200.0,69778.9912,3.10306788630359
PER,Peru,Ingreso Mediano Alto,228346006003.648,228346.006003648,2.24063176875049
PHL,Philippines,Países De Ingreso Mediano Bajo,376823402244.928,376823.402244928,6.11852566118505
PLW,Palau,Ingreso Alto,281941562.5,281.9415625,0.199999999999847
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,24750626040.5917,24750.626040591706,4.4805145710407
POL,Poland,Ingreso Alto,602683770144.88,602683.77014488,4.58045817256199
PRI,Puerto Rico,Ingreso Alto,105126400000.0,105126.4,1.67546379498209
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0,0.0
PRT,Portugal,Ingreso Alto,240115970063.019,240115.97006301905,2.74568471619554
PRY,Paraguay,Ingreso Mediano Alto,37925338329.1494,37925.3383291494,-0.40185510068001
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,17133500000.0,17133.5,1.36268746558062
PYF,French Polynesia,Ingreso Alto,6022276196.13871,6022.276196138711,2.69993449863051
QAT,Qatar,Ingreso Alto,176371267689.082,176371.267689082,0.688240959581748
ROU,Romania,Ingreso Alto,251677082534.495,251677.08253449496,3.92326384963494
RUS,Russian Federation,Ingreso Alto,1693115002708.32,1693115.00270832,2.19807571335009
RWA,Rwanda,Países De Ingreso Bajo,10349300380.33,10349.30038033,9.44738518613097
SAU,Saudi Arabia,Ingreso Alto,838564800000.0,838564.8,1.09773374954092
SDN,Sudan,Países De Ingreso Bajo,32338079165.2893,32338.0791652893,-2.17825104530091
SEN,Senegal,Países De Ingreso Mediano Bajo,23403995992.1354,23403.9959921354,4.61362809749708
SGP,Singapore,Ingreso Alto,376901649222.451,376901.649222451,1.34505874082728
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1619155017.3924,1619.1550173924,1.74856655451832
SLE,Sierra Leone,Países De Ingreso Bajo,6523577590.38319,6523.57759038319,5.50270937378153
SLV,El Salvador,Ingreso Mediano Alto,26881140000.0,26881.14,2.43747159065784
SMR,San Marino,Ingreso Alto,1616232125.12587,1616.23212512587,2.06568514732739
SOM,Somalia,Países De Ingreso Bajo,8655023960.002,8655.023960002001,2.82431336541845
SRB,Serbia,Ingreso Mediano Alto,53864693664.5568,53864.6936645568,4.75020793899014
SSD,South Sudan,Países De Ingreso Bajo,0.0,0.0,0.0
STP,Sao Tome And Principe,Países De Ingreso Mediano Bajo,412976082.620705,412.976082620705,2.01431672129407
SUR,Suriname,Ingreso Mediano Alto,4016040575.08796,4016.04057508796,1.16758977233877
SVK,Slovakia,Ingreso Alto,105843498304.094,105843.498304094,2.27589918160336
SVN,Slovenia,Ingreso Alto,53909922735.545,53909.922735545,3.50525166840163
SWE,Sweden,Ingreso Alto,532169294165.94,532169.29416594,2.54964785253048
SWZ,Eswatini,Países De Ingreso Mediano Bajo,4594818143.27624,4594.81814327624,4.96212142479391
SXM,Sint Maarten (Dutch Part),Ingreso Alto,1407880446.92737,1407.88044692737,10.9650009352392
SYC,Seychelles,Ingreso Alto,1868690096.73454,1868.69009673454,5.5142920737342
SYR,Syrian Arab Republic,Países De Ingreso Bajo,22583045060.0821,22583.0450600821,1.22070522070523
TCA,Turks And Caicos Islands,Ingreso Alto,1177285211.72521,1177.28521172521,5.31092524837173
TCD,Chad,Países De Ingreso Bajo,11314951091.7283,11314.9510917283,3.24718191743429
TGO,Togo,Países De Ingreso Bajo,6992700101.37188,6992.70010137188,4.92292591685973
THA,Thailand,Ingreso Mediano Alto,543976691793.886,543976.691793886,2.11455779628278
TJK,Tajikistan,Países De Ingreso Mediano Bajo,8300813599.3084,8300.8135993084,7.40000016310556
TKM,Turkmenistan,Ingreso Mediano Alto,45232857142.8571,45232.8571428571,6.30000004226711
TLS,Timor-Leste,Países De Ingreso Mediano Bajo,2032550400.0,2032.5504,24.2128840085001
TON,Tonga,Ingreso Mediano Alto,494197841.113077,494.197841113077,-0.208437487640992
TTO,Trinidad And Tobago,Ingreso Alto,23775659262.5735,23775.659262573503,0.3612724057636
TUN,Tunisia,Países De Ingreso Mediano Bajo,41905642418.825,41905.642418825,1.58784665466504
TUR,Turkey,Ingreso Mediano Alto,761005915750.925,761005.9157509251,0.818514526726673
TUV,Tuvalu,Ingreso Mediano Alto,54123198.5662913,54.1231985662913,13.8220984406966
TZA,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,61026731925.9213,61026.7319259213,5.79999999996723
UGA,Uganda,Países De Ingreso Bajo,35348155095.4215,35348.1550954215,6.43874503276439
UKR,Ukraine,Ingreso Mediano Alto,153883047509.577,153883.047509577,3.19950386231294
URY,Uruguay,Ingreso Alto,62222325807.0578,62222.3258070578,0.928351033363754
USA,United States Of America,Ingreso Alto,21539982000000.0,21539982.0,2.58382533018855
UZB,Uzbekistan,Países De Ingreso Mediano Bajo,67293639798.3996,67293.6397983996,6.77992399653822
VCT,Saint Vincent And The Grenadines,Ingreso Mediano Alto,910766666.666667,910.766666666667,0.661727443679865
VEN,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0,0.0
VGB,Virgin Islands (British),Ingreso Alto,0.0,0.0,0.0
VIR,Virgin Islands (U.S.),Ingreso Alto,4121000000.0,4121.0,2.90833549727343
VNM,Viet Nam,Países De Ingreso Mediano Bajo,334365270496.667,334365.270496667,7.35926270105006
VUT,Vanuatu,Países De Ingreso Mediano Bajo,936526267.622513,936.526267622513,3.24118765540442
WSM,Samoa,Países De Ingreso Mediano Bajo,912950466.064906,912.950466064906,4.45185891688691
YEM,Yemen,Países De Ingreso Bajo,0.0,0.0,0.0
ZAF,South Africa,Ingreso Mediano Alto,389330032224.269,389330.032224269,0.25993557687633
ZMB,Zambia,Países De Ingreso Mediano Bajo,23308667781.2258,23308.6677812258,1.44130602603785
ZWE,Zimbabwe,Países De Ingreso Mediano Bajo,25717409842.4479,25717.409842447894,-6.33244640703352
