2023_country_code,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
LBN,Lebanon,Países De Ingreso Mediano Bajo,0.0,0.0
LBR,Liberia,Países De Ingreso Bajo,4240.0,0.02
LBY,Libya,Ingreso Mediano Alto,45096.4629724014,0.16
LCA,Saint Lucia,Ingreso Mediano Alto,2430.14814814815,0.01
LIE,Liechtenstein,Ingreso Alto,0.0,0.0
LKA,Sri Lanka,Países De Ingreso Mediano Bajo,84356.8637436335,0.3
LSO,Lesotho,Países De Ingreso Mediano Bajo,2117.96245079469,0.01
LTU,Lithuania,Ingreso Alto,79789.8774161681,0.29
LUX,Luxembourg,Ingreso Alto,85755.00612359759,0.31
LVA,Latvia,Ingreso Alto,42247.850064512495,0.15
MAC,Macao,Ingreso Alto,45803.06794040721,0.17
MAF,Saint Martin (French Part),Ingreso Alto,0.0,0.0
MAR,Morocco,Países De Ingreso Mediano Bajo,144417.103249646,0.52
MCO,Monaco,Ingreso Alto,9995.35054712166,0.04
MDA,"Moldova, Republic Of",Ingreso Mediano Alto,16539.436547295,0.06
MDG,Madagascar,Países De Ingreso Bajo,15790.1132467478,0.06
MDV,Maldives,Ingreso Mediano Alto,6590.8943019579,0.02
MEX,Mexico,Ingreso Mediano Alto,1789114.43484346,6.45
MHL,Marshall Islands,Ingreso Mediano Alto,259.3,0.0
MKD,North Macedonia,Ingreso Mediano Alto,15763.621848115,0.06
MLI,Mali,Países De Ingreso Bajo,20661.7945960873,0.07
MLT,Malta,Ingreso Alto,22328.640241555306,0.08
MMR,Myanmar,Países De Ingreso Mediano Bajo,66757.619,0.24
MNE,Montenegro,Ingreso Mediano Alto,7530.59337522034,0.03
MNG,Mongolia,Ingreso Mediano Alto,20325.1213939074,0.07
MNP,Northern Mariana Islands,Ingreso Alto,0.0,0.0
MOZ,Mozambique,Países De Ingreso Bajo,20954.220983547297,0.08
MRT,Mauritania,Países De Ingreso Mediano Bajo,10651.7094114594,0.04
MUS,Mauritius,Ingreso Mediano Alto,14644.5248190054,0.05
MWI,Malawi,Países De Ingreso Bajo,12712.1500820792,0.05
MYS,Malaysia,Ingreso Mediano Alto,399705.169318477,1.44
NAM,Namibia,Ingreso Mediano Alto,12351.0250669131,0.04
NCL,New Caledonia,Ingreso Alto,0.0,0.0
NER,Niger,Países De Ingreso Bajo,16819.1704205653,0.06
NGA,Nigeria,Países De Ingreso Mediano Bajo,363846.332834618,1.31
NIC,Nicaragua,Países De Ingreso Mediano Bajo,17829.2182193591,0.06
NLD,Netherlands,Ingreso Alto,1154361.30539806,4.16
NOR,Norway,Ingreso Alto,485310.823603662,1.75
NPL,Nepal,Países De Ingreso Mediano Bajo,40908.0733668455,0.15
NRU,Nauru,Ingreso Alto,154.170289321861,0.0
NZL,New Zealand,Ingreso Alto,252175.506110168,0.91
OMN,Oman,Ingreso Alto,108810.923276983,0.39
PAK,Pakistan,Países De Ingreso Mediano Bajo,337912.301397727,1.22
PAN,Panama,Ingreso Alto,83318.1769,0.3
PER,Peru,Ingreso Mediano Alto,267603.248655253,0.97
PHL,Philippines,Países De Ingreso Mediano Bajo,437146.372729942,1.58
PLW,Palau,Ingreso Alto,281.8490625,0.0
PNG,Papua New Guinea,Países De Ingreso Mediano Bajo,30729.2429194411,0.11
POL,Poland,Ingreso Alto,809200.6977970881,2.92
PRI,Puerto Rico,Ingreso Alto,117902.3,0.43
PRK,Korea (Democratic People'S Republic Of),Países De Ingreso Bajo,0.0,0.0
PRT,Portugal,Ingreso Alto,289114.289663542,1.04
PRY,Paraguay,Ingreso Mediano Alto,42956.2635439482,0.15
PSE,"Palestine, State Of",Países De Ingreso Mediano Bajo,17420.8,0.06
PYF,French Polynesia,Ingreso Alto,0.0,0.0
QAT,Qatar,Ingreso Alto,213002.809330267,0.77
ROU,Romania,Ingreso Alto,350775.85641518905,1.27
RUS,Russian Federation,Ingreso Alto,2021421.47603542,7.29
RWA,Rwanda,Países De Ingreso Bajo,14097.7684721883,0.05
SAU,Saudi Arabia,Ingreso Alto,1067582.93333333,3.85
SDN,Sudan,Países De Ingreso Bajo,109265.503110904,0.39
SEN,Senegal,Países De Ingreso Mediano Bajo,30848.3330837055,0.11
SGP,Singapore,Ingreso Alto,501427.5000800591,1.81
SLB,Solomon Islands,Países De Ingreso Mediano Bajo,1633.31940119414,0.01
SLE,Sierra Leone,Países De Ingreso Bajo,6411.86954628929,0.02
SLV,El Salvador,Ingreso Mediano Alto,34015.62,0.12
SMR,San Marino,Ingreso Alto,0.0,0.0
SOM,Somalia,Países De Ingreso Bajo,10968.5170900004,0.04
SRB,Serbia,Ingreso Mediano Alto,81342.6607523732,0.29
SSD,South Sudan,Países De Ingreso Bajo,0.0,0.0
STP,Sao Tome And Principe,Países De Ingreso Mediano Bajo,678.976264835436,0.0
SUR,Suriname,Ingreso Mediano Alto,3455.14628083975,0.01
SVK,Slovakia,Ingreso Alto,132908.33623429498,0.48
SVN,Slovenia,Ingreso Alto,69148.46841732081,0.25
SWE,Sweden,Ingreso Alto,584960.4757673199,2.11
SWZ,Eswatini,Países De Ingreso Mediano Bajo,4442.87578808505,0.02
SXM,Sint Maarten (Dutch Part),Ingreso Alto,1627.77694927374,0.01
SYC,Seychelles,Ingreso Alto,2141.45017113932,0.01
SYR,Syrian Arab Republic,Países De Ingreso Bajo,0.0,0.0
TCA,Turks And Caicos Islands,Ingreso Alto,1402.05439094734,0.01
TCD,Chad,Países De Ingreso Bajo,13149.3253623347,0.05
TGO,Togo,Países De Ingreso Bajo,9171.26183757103,0.03
THA,Thailand,Ingreso Mediano Alto,514968.699239005,1.86
TJK,Tajikistan,Países De Ingreso Mediano Bajo,12060.6020088478,0.04
TKM,Turkmenistan,Ingreso Mediano Alto,60628.8571428571,0.22
TLS,Timor-Leste,Países De Ingreso Mediano Bajo,2079.9169,0.01
TON,Tonga,Ingreso Mediano Alto,0.0,0.0
TTO,Trinidad And Tobago,Ingreso Alto,27372.2856979477,0.1
TUN,Tunisia,Países De Ingreso Mediano Bajo,48529.5954166533,0.18
TUR,Turkey,Ingreso Mediano Alto,1118252.96426077,4.03
TUV,Tuvalu,Ingreso Mediano Alto,62.2803115852172,0.0
TZA,"Tanzania, United Republic Of",Países De Ingreso Mediano Bajo,79062.403820892,0.29
UGA,Uganda,Países De Ingreso Bajo,48768.9558633175,0.18
UKR,Ukraine,Ingreso Mediano Alto,178757.021965008,0.64
URY,Uruguay,Ingreso Alto,77240.8308774597,0.28
USA,United States Of America,Ingreso Alto,27720709.0,100.0
UZB,Uzbekistan,Países De Ingreso Mediano Bajo,101591.769702343,0.37
VCT,Saint Vincent And The Grenadines,Ingreso Mediano Alto,1065.96296296296,0.0
VEN,Venezuela (Bolivarian Republic Of),No Clasificado,0.0,0.0
VGB,Virgin Islands (British),Ingreso Alto,0.0,0.0
VIR,Virgin Islands (U.S.),Ingreso Alto,0.0,0.0
VNM,Viet Nam,Países De Ingreso Mediano Bajo,429716.969043572,1.55
VUT,Vanuatu,Países De Ingreso Mediano Bajo,1126.3133592192298,0.0
WSM,Samoa,Países De Ingreso Mediano Bajo,938.189443830393,0.0
YEM,Yemen,Países De Ingreso Bajo,0.0,0.0
ZAF,South Africa,Ingreso Mediano Alto,380699.271814508,1.37
ZMB,Zambia,Países De Ingreso Mediano Bajo,27577.956471244,0.1
ZWE,Zimbabwe,Países De Ingreso Mediano Bajo,35231.3678858554,0.13
