2023_country_code,Country,2023_income_group,2023_total_gdp_million,2023_porcentaje
ABW,Aruba,Ingreso Alto,3648.57313615155,0.01
AFG,Afghanistan,Países De Ingreso Bajo,17233.0516201117,0.06
AGO,Angola,Países De Ingreso Mediano Bajo,84824.6544817249,0.31
ALB,Albania,Ingreso Mediano Alto,23547.1798304413,0.08
AND,Andorra,Ingreso Alto,3785.0673317625,0.01
ARE,United Arab Emirates,Ingreso Alto,514130.432653081,1.85
ARG,Argentina,Ingreso Mediano Alto,646075.277525125,2.33
ARM,Armenia,Ingreso Mediano Alto,24085.7495923359,0.09
ASM,American Samoa,Ingreso Alto,0.0,0.0
ATG,Antigua And Barbuda,Ingreso Alto,2033.08518518518,0.01
AUS,Australia,Ingreso Alto,1728057.31669561,6.23
AUT,Austria,Ingreso Alto,511685.203845001,1.85
AZE,Azerbaijan,Ingreso Mediano Alto,72356.1764705882,0.26
BDI,Burundi,Países De Ingreso Bajo,2642.16166885211,0.01
BEL,Belgium,Ingreso Alto,644782.756682756,2.33
BEN,Benin,Países De Ingreso Mediano Bajo,19676.0490757011,0.07
BFA,Burkina Faso,Países De Ingreso Bajo,20324.6178445265,0.07
BGD,Bangladesh,Países De Ingreso Mediano Bajo,437415.331040994,1.58
BGR,Bulgaria,Ingreso Alto,102407.653020606,0.37
BHR,Bahrain,Ingreso Alto,46079.8670212766,0.17
BHS,Bahamas,Ingreso Alto,14338.5,0.05
BIH,Bosnia And Herzegovina,Ingreso Mediano Alto,27514.7824760406,0.1
BLR,Belarus,Ingreso Mediano Alto,71857.38274560659,0.26
BLZ,Belize,Ingreso Mediano Alto,3066.85,0.01
BMU,Bermuda,Ingreso Alto,8141.7,0.03
BOL,Bolivia (Plurinational State Of),Países De Ingreso Mediano Bajo,45135.3980088166,0.16
BRA,Brazil,Ingreso Mediano Alto,2173665.65593727,7.84
BRB,Barbados,Ingreso Alto,6720.7332,0.02
BRN,Brunei Darussalam,Ingreso Alto,15128.2929808638,0.05
BTN,Bhutan,Países De Ingreso Mediano Bajo,0.0,0.0
BWA,Botswana,Ingreso Mediano Alto,19396.0844980084,0.07
CAF,Central African Republic,Países De Ingreso Bajo,2555.49208524831,0.01
CAN,Canada,Ingreso Alto,2142470.9144013603,7.73
CHE,Switzerland,Ingreso Alto,884940.4022304091,3.19
CHL,Chile,Ingreso Alto,335533.331669219,1.21
CHN,China,Ingreso Mediano Alto,17794783.039552,64.19
CIV,Côte D'Ivoire,Países De Ingreso Mediano Bajo,78875.4892450538,0.28
CMR,Cameroon,Países De Ingreso Mediano Bajo,49279.410982826,0.18
COD,"Congo, Democratic Republic Of The",Países De Ingreso Bajo,66383.2870029867,0.24
COG,Congo,Países De Ingreso Mediano Bajo,15321.0558225167,0.06
COL,Colombia,Ingreso Mediano Alto,363493.841244303,1.31
COM,Comoros,Países De Ingreso Mediano Bajo,1352.38097124055,0.0
CPV,Cabo Verde,Países De Ingreso Mediano Bajo,2533.8194064916,0.01
CRI,Costa Rica,Ingreso Mediano Alto,86497.94143901739,0.31
CUB,Cuba,Ingreso Mediano Alto,0.0,0.0
CUW,Curaçao,Ingreso Alto,3281.41934737053,0.01
CYM,Cayman Islands,Ingreso Alto,7139.42855771423,0.03
CYP,Cyprus,Ingreso Alto,33886.9307123394,0.12
CZE,Czechia,Ingreso Alto,343207.87455373403,1.24
DEU,Germany,Ingreso Alto,4525703.903627531,16.33
DJI,Djibouti,Países De Ingreso Mediano Bajo,4098.53051355777,0.01
DMA,Dominica,Ingreso Mediano Alto,653.9925925925929,0.0
DNK,Denmark,Ingreso Alto,407091.920305404,1.47
DOM,Dominican Republic,Ingreso Mediano Alto,121444.279313931,0.44
DZA,Algeria,Ingreso Mediano Alto,247626.161016414,0.89
ECU,Ecuador,Ingreso Mediano Alto,118844.826,0.43
EGY,Egypt,Países De Ingreso Mediano Bajo,396002.49699696,1.43
ERI,Eritrea,Países De Ingreso Bajo,0.0,0.0
ESP,Spain,Ingreso Alto,1620090.73495689,5.84
EST,Estonia,Ingreso Alto,41291.2452221948,0.15
ETH,Ethiopia,Países De Ingreso Bajo,163697.927593982,0.59
FIN,Finland,Ingreso Alto,295532.34125490696,1.07
FJI,Fiji,Ingreso Mediano Alto,5442.04656504719,0.02
FRA,France,Ingreso Alto,3051831.61138476,11.01
FRO,Faroe Islands,Ingreso Alto,3907.32396133964,0.01
FSM,Micronesia (Federated States Of),Países De Ingreso Mediano Bajo,460.0,0.0
GAB,Gabon,Ingreso Mediano Alto,19388.4025416698,0.07
GBR,United Kingdom Of Great Britain And Northern Ireland,Ingreso Alto,3380854.52080954,12.2
GEO,Georgia,Ingreso Mediano Alto,30777.8335854441,0.11
GHA,Ghana,Países De Ingreso Mediano Bajo,76370.39672215401,0.28
GIB,Gibraltar,Ingreso Alto,0.0,0.0
GIN,Guinea,Países De Ingreso Mediano Bajo,22199.4097412578,0.08
GMB,Gambia,Países De Ingreso Bajo,2396.11102164149,0.01
GNB,Guinea-Bissau,Países De Ingreso Bajo,2048.34810835852,0.01
GNQ,Equatorial Guinea,Ingreso Mediano Alto,12337.550583754,0.04
GRC,Greece,Ingreso Alto,243498.333237802,0.88
GRD,Grenada,Ingreso Mediano Alto,1316.73333333333,0.0
GRL,Greenland,Ingreso Alto,0.0,0.0
GTM,Guatemala,Ingreso Mediano Alto,104450.210572012,0.38
GUM,Guam,Ingreso Alto,0.0,0.0
GUY,Guyana,Ingreso Alto,17159.5095654676,0.06
HKG,Hong Kong,Ingreso Alto,380812.234827832,1.37
HND,Honduras,Países De Ingreso Mediano Bajo,34400.5098520436,0.12
HRV,Croatia,Ingreso Alto,84393.7955024421,0.3
HTI,Haiti,Países De Ingreso Mediano Bajo,19850.8297575418,0.07
HUN,Hungary,Ingreso Alto,212388.906458724,0.77
IDN,Indonesia,Ingreso Mediano Alto,1371171.15233116,4.95
IMN,Isle Of Man,Ingreso Alto,0.0,0.0
IND,India,Países De Ingreso Mediano Bajo,3567551.6746230097,12.87
IRL,Ireland,Ingreso Alto,551394.889339778,1.99
IRN,Iran (Islamic Republic Of),Ingreso Mediano Alto,404625.655204619,1.46
IRQ,Iraq,Ingreso Mediano Alto,250842.782139464,0.9
ISL,Iceland,Ingreso Alto,31325.1165563807,0.11
ISR,Israel,Ingreso Alto,513611.100815691,1.85
ITA,Italy,Ingreso Alto,2300941.15299181,8.3
JAM,Jamaica,Ingreso Mediano Alto,19423.3554092316,0.07
JOR,Jordan,Países De Ingreso Mediano Bajo,50967.4753521127,0.18
JPN,Japan,Ingreso Alto,4204494.80243155,15.17
KAZ,Kazakhstan,Ingreso Mediano Alto,262641.892078524,0.95
KEN,Kenya,Países De Ingreso Mediano Bajo,108038.588970595,0.39
KGZ,Kyrgyzstan,Países De Ingreso Mediano Bajo,13987.6279088381,0.05
KHM,Cambodia,Países De Ingreso Mediano Bajo,42335.6468957984,0.15
KIR,Kiribati,Países De Ingreso Mediano Bajo,279.208903337644,0.0
KNA,Saint Kitts And Nevis,Ingreso Alto,1055.49977777778,0.0
KOR,"Korea, Republic Of",Ingreso Alto,1712792.8542023702,6.18
KWT,Kuwait,Ingreso Alto,163704.87887585,0.59
LAO,Lao People'S Democratic Republic,Países De Ingreso Mediano Bajo,15843.1557312552,0.06
