country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
MNE;Montenegro;INGRESO MEDIANO ALTO;5542054181;INGRESO MEDIANO ALTO;4769996866;INGRESO MEDIANO ALTO;5861427505;INGRESO MEDIANO ALTO;6229801581;INGRESO MEDIANO ALTO;7530593375
MNG;Mongolia;INGRESO MEDIANO ALTO;14206359018;INGRESO MEDIANO ALTO;13312981429;INGRESO MEDIANO ALTO;15286441738;INGRESO MEDIANO ALTO;17146471714;INGRESO MEDIANO ALTO;20325121394
MNP;Northern mariana islands;INGRESO ALTO;1179000000;INGRESO ALTO;866000000;INGRESO ALTO;914000000;INGRESO ALTO;1096000000;INGRESO ALTO;0
MOZ;Mozambique;PAÍSES DE INGRESO BAJO;15512759047;PAÍSES DE INGRESO BAJO;14235420174;PAÍSES DE INGRESO BAJO;16168055475;PAÍSES DE INGRESO BAJO;18883528581;PAÍSES DE INGRESO BAJO;20954220984
MRT;Mauritania;PAÍSES DE INGRESO MEDIANO BAJO;7894764886;PAÍSES DE INGRESO MEDIANO BAJO;8260752385;PAÍSES DE INGRESO MEDIANO BAJO;9222536364;PAÍSES DE INGRESO MEDIANO BAJO;9557966698;PAÍSES DE INGRESO MEDIANO BAJO;10651709411
MUS;Mauritius;INGRESO MEDIANO ALTO;14436346980;INGRESO MEDIANO ALTO;11408106446;INGRESO MEDIANO ALTO;11484348858;INGRESO MEDIANO ALTO;12927979286;INGRESO MEDIANO ALTO;14644524819
MWI;Malawi;PAÍSES DE INGRESO BAJO;11051865580;PAÍSES DE INGRESO BAJO;11769313598;PAÍSES DE INGRESO BAJO;12378129751;PAÍSES DE INGRESO BAJO;12429060151;PAÍSES DE INGRESO BAJO;12712150082
MYS;Malaysia;INGRESO MEDIANO ALTO;365177721022;INGRESO MEDIANO ALTO;337456163961;INGRESO MEDIANO ALTO;373784823673;INGRESO MEDIANO ALTO;407605841348;INGRESO MEDIANO ALTO;399705169318
NAM;Namibia;INGRESO MEDIANO ALTO;12541928303;INGRESO MEDIANO ALTO;10583748542;INGRESO MEDIANO ALTO;12402486184;INGRESO MEDIANO ALTO;12567271005;INGRESO MEDIANO ALTO;12351025067
NCL;New caledonia;INGRESO ALTO;9475655325;INGRESO ALTO;9454629468;INGRESO ALTO;10071349664;INGRESO ALTO;9623318718;INGRESO ALTO;0
NER;Niger;PAÍSES DE INGRESO BAJO;12889555561;PAÍSES DE INGRESO BAJO;13744653103;PAÍSES DE INGRESO BAJO;14915002436;PAÍSES DE INGRESO BAJO;15433852712;PAÍSES DE INGRESO BAJO;16819170421
