country_code;Country;2019_income_group;2019_total_gdp;2020_income_group;2020_total_gdp;2021_income_group;2021_total_gdp;2022_income_group;2022_total_gdp;2023_income_group;2023_total_gdp
COG;Congo;PAÍSES DE INGRESO MEDIANO BAJO;13976637780;PAÍSES DE INGRESO MEDIANO BAJO;11468687464;PAÍSES DE INGRESO MEDIANO BAJO;14825690211;PAÍSES DE INGRESO MEDIANO BAJO;15817030155;PAÍSES DE INGRESO MEDIANO BAJO;15321055823
COL;Colombia;INGRESO MEDIANO ALTO;323031701193;INGRESO MEDIANO ALTO;270348342541;INGRESO MEDIANO ALTO;318524633225;INGRESO MEDIANO ALTO;345329875079;INGRESO MEDIANO ALTO;363493841244
COM;Comoros;PAÍSES DE INGRESO MEDIANO BAJO;1195019532;PAÍSES DE INGRESO MEDIANO BAJO;1225039197;PAÍSES DE INGRESO MEDIANO BAJO;1296089480;PAÍSES DE INGRESO MEDIANO BAJO;1242519408;PAÍSES DE INGRESO MEDIANO BAJO;1352380971
CPV;Cabo verde;PAÍSES DE INGRESO MEDIANO BAJO;2252177134;PAÍSES DE INGRESO MEDIANO BAJO;1821565618;PAÍSES DE INGRESO MEDIANO BAJO;2051842610;PAÍSES DE INGRESO MEDIANO BAJO;2247003348;PAÍSES DE INGRESO MEDIANO BAJO;2533819406
CRI;Costa rica;INGRESO MEDIANO ALTO;64417670521;INGRESO MEDIANO ALTO;62395610760;INGRESO MEDIANO ALTO;64960725734;INGRESO MEDIANO ALTO;69243626029;INGRESO MEDIANO ALTO;86497941439
CUB;Cuba;INGRESO MEDIANO ALTO;103427600000;INGRESO MEDIANO ALTO;107351800000;INGRESO MEDIANO ALTO;0;INGRESO MEDIANO ALTO;0;INGRESO MEDIANO ALTO;0
CUW;Curaçao;INGRESO ALTO;3026124134;INGRESO ALTO;2534327598;INGRESO ALTO;2739608156;INGRESO ALTO;3075180835;INGRESO ALTO;3281419347
CYM;Cayman islands;INGRESO ALTO;5941896608;INGRESO ALTO;5655358021;INGRESO ALTO;6060026520;INGRESO ALTO;6600843963;INGRESO ALTO;7139428558
CYP;Cyprus;INGRESO ALTO;26196667100;INGRESO ALTO;25555093854;INGRESO ALTO;30372874320;INGRESO ALTO;30976176887;INGRESO ALTO;33886930712
CZE;Czechia;INGRESO ALTO;256794209029;INGRESO ALTO;251109660603;INGRESO ALTO;290972714482;INGRESO ALTO;301831228326;INGRESO ALTO;343207874554
DEU;Germany;INGRESO ALTO;3957208055216;INGRESO ALTO;3940142541354;INGRESO ALTO;4348297440388;INGRESO ALTO;4163596357879;INGRESO ALTO;4525703903628
DJI;Djibouti;PAÍSES DE INGRESO MEDIANO BAJO;3088853639;PAÍSES DE INGRESO MEDIANO BAJO;3185150981;PAÍSES DE INGRESO MEDIANO BAJO;3385825229;PAÍSES DE INGRESO MEDIANO BAJO;3674298479;PAÍSES DE INGRESO MEDIANO BAJO;4098530514
DMA;Dominica;INGRESO MEDIANO ALTO;611537037;INGRESO MEDIANO ALTO;504214815;INGRESO MEDIANO ALTO;555266667;INGRESO MEDIANO ALTO;607159259;INGRESO MEDIANO ALTO;653992593
DNK;Denmark;INGRESO ALTO;345401473013;INGRESO ALTO;355631021932;INGRESO ALTO;408378204640;INGRESO ALTO;401945576108;INGRESO ALTO;407091920305
DOM;Dominican republic;INGRESO MEDIANO ALTO;88941372558;INGRESO MEDIANO ALTO;78844656298;INGRESO MEDIANO ALTO;94243425938;INGRESO MEDIANO ALTO;113537368176;INGRESO MEDIANO ALTO;121444279314
DZA;Algeria;INGRESO MEDIANO ALTO;193459662091;INGRESO MEDIANO ALTO;164873415325;INGRESO MEDIANO ALTO;186231205262;INGRESO MEDIANO ALTO;225638456572;INGRESO MEDIANO ALTO;247626161016
ECU;Ecuador;INGRESO MEDIANO ALTO;107595829000;INGRESO MEDIANO ALTO;95865472000;INGRESO MEDIANO ALTO;107435101000;INGRESO MEDIANO ALTO;116586079000;INGRESO MEDIANO ALTO;118844826000
EGY;Egypt;PAÍSES DE INGRESO MEDIANO BAJO;318678815490;PAÍSES DE INGRESO MEDIANO BAJO;383817841547;PAÍSES DE INGRESO MEDIANO BAJO;424671765456;PAÍSES DE INGRESO MEDIANO BAJO;476747720365;PAÍSES DE INGRESO MEDIANO BAJO;396002496997
ERI;Eritrea;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0;PAÍSES DE INGRESO BAJO;0
ESP;Spain;INGRESO ALTO;1403496387686;INGRESO ALTO;1289783836971;INGRESO ALTO;1461244901853;INGRESO ALTO;1446498147749;INGRESO ALTO;1620090734957
EST;Estonia;INGRESO ALTO;31873748770;INGRESO ALTO;31820771494;INGRESO ALTO;37204563051;INGRESO ALTO;38376046175;INGRESO ALTO;41291245222
ETH;Ethiopia;PAÍSES DE INGRESO BAJO;95912607722;PAÍSES DE INGRESO BAJO;107657734392;PAÍSES DE INGRESO BAJO;111261882958;PAÍSES DE INGRESO BAJO;126772703048;PAÍSES DE INGRESO BAJO;163697927594
FIN;Finland;INGRESO ALTO;267014821129;INGRESO ALTO;270000311606;INGRESO ALTO;294223210496;INGRESO ALTO;280241515774;INGRESO ALTO;295532341255
FJI;Fiji;INGRESO MEDIANO ALTO;5444407214;INGRESO MEDIANO ALTO;4432466237;INGRESO MEDIANO ALTO;4305031631;INGRESO MEDIANO ALTO;4969503561;INGRESO MEDIANO ALTO;5442046565
FRA;France;INGRESO ALTO;2722793515172;INGRESO ALTO;2647926055110;INGRESO ALTO;2966433692008;INGRESO ALTO;2796302210399;INGRESO ALTO;3051831611385
FRO;Faroe islands;INGRESO ALTO;3266432734;INGRESO ALTO;3271813312;INGRESO ALTO;3664686797;INGRESO ALTO;3566698398;INGRESO ALTO;3907323961
